"","EQR.Open","EQR.High","EQR.Low","EQR.Close","EQR.Volume","EQR.Adjusted"
"426",67.5,68.309998,67.480003,68,2886000,60.898087
"427",67.93,68.089996,67.620003,67.760002,1463600,60.683155
"428",68.120003,68.349998,67.769997,68.139999,1132600,61.02346
"429",67.959999,67.959999,66.940002,67.830002,1400200,60.745853
"430",67.800003,68.580002,67.610001,68.400002,1640900,61.25631
"431",68.309998,68.419998,67.440002,67.769997,1427700,60.692112
"432",67.839996,67.839996,66.870003,67.010002,1057000,60.01149
"433",67.059998,67.940002,66.879997,67.919998,1027100,60.82645
"434",67.360001,68.300003,67.169998,67.690002,3188900,61.106304
"435",67.669998,67.82,65.910004,66.099998,1392500,59.670937
"436",66.18,66.449997,65.629997,66.239998,1466000,59.797333
"437",66.339996,66.529999,64.949997,64.989998,2051800,58.668907
"438",65.040001,65.419998,64.860001,64.949997,2142800,58.632801
"439",65.07,66.279999,65.029999,66.260002,2580900,59.815388
"440",66.209999,66.580002,65.790001,66.040001,1268200,59.616779
"441",66.139999,66.57,66.019997,66.239998,964100,59.797333
"442",66.279999,66.550003,65.089996,65.360001,1245900,59.002914
"443",64.980003,65.239998,64.269997,64.959999,1098500,58.641834
"444",65.059998,65.550003,64.82,64.889999,1559800,58.578629
"445",64.989998,66.07,64.989998,65.300003,2430600,58.948757
"446",65.410004,65.800003,65.059998,65.550003,1661200,59.174442
"447",65.5,65.93,64.650002,64.690002,1567600,58.398087
"448",64.949997,64.949997,62.82,62.869999,1988600,56.7551
"449",63.119999,63.84,62.400002,62.669998,1736500,56.574554
"450",62.5,63.700001,62.419998,62.98,1440100,56.854397
"451",63.240002,64.599998,62.790001,64.379997,2653100,58.118233
"452",64.290001,64.559998,63.77,64.07,2265500,57.83839
"453",64.120003,64.720001,63.889999,64.410004,1453900,58.145317
"454",64.410004,64.980003,64.389999,64.870003,1743000,58.560574
"455",64.989998,65.029999,63.509998,63.540001,1558100,57.35994
"456",63.400002,64,62.779999,63.740002,2075700,57.540485
"457",64.040001,66.050003,64.040001,65.43,3064300,59.066116
"458",65.510002,66.480003,64.870003,66.059998,1626500,59.634834
"459",65.919998,65.940002,64.599998,64.839996,2238200,58.533493
"460",65.43,66.459999,65.43,66.220001,1494500,59.779274
"461",66.449997,66.949997,65.629997,65.779999,2052400,59.382069
"462",65.699997,66.040001,64.900002,64.959999,3099800,58.641834
"463",65.269997,65.269997,64.220001,64.82,2233800,58.515442
"464",64.510002,65.010002,63.619999,64.440002,2228400,58.172401
"465",64.589996,65.860001,64.559998,65.669998,1512200,59.282768
"466",65.879997,66.910004,65.639999,66.519997,2327200,60.050095
"467",66.910004,67.739998,66.300003,67.470001,1681800,60.907707
"468",67.239998,67.519997,66.660004,67.300003,872500,60.75423
"469",67.389999,67.709999,67,67.480003,1105900,60.916721
"470",67.550003,68.220001,67.120003,68.029999,1007300,61.413223
"471",68.160004,68.43,67.540001,68.139999,1215400,61.512524
"472",68.349998,68.93,67.970001,68.760002,2222300,62.072227
"473",68.360001,68.360001,67.010002,67.779999,2349900,61.187546
"474",67.720001,69.459999,67.720001,69.360001,1785700,62.613876
"475",69.360001,69.919998,68.589996,69.400002,1792800,62.649971
"476",69.449997,69.879997,68.800003,69.550003,1552200,62.785393
