"","FAST.Open","FAST.High","FAST.Low","FAST.Close","FAST.Volume","FAST.Adjusted"
"871",41.880001,42.290001,41.610001,41.990002,3085700,40.311501
"872",42.41,42.650002,41.290001,41.59,7914500,39.927486
"873",41.5,42.209999,41.07,41.98,2648000,40.301903
"874",42.93,42.93,42.209999,42.23,3017600,40.541904
"875",41.77,42.25,41.290001,41.34,3490200,39.687481
"876",41.330002,41.84,40.900002,41.669998,3289600,40.004292
"877",41.509998,41.779999,40.439999,40.990002,4439500,39.351467
"878",41.27,42.209999,41.25,41.919998,3870000,40.244289
"879",41.700001,43.139999,41.459999,42.84,4725400,41.127518
"880",43.02,43.18,42.619999,43.009998,4474000,41.290722
"881",43.68,44.259998,43.540001,44.040001,5302500,42.279556
"882",44.560001,44.790001,43.860001,44.220001,4759900,42.452358
"883",44.18,44.650002,43.950001,44.060001,4744700,42.298756
"884",44.029999,44.119999,42.57,43.02,4721900,41.300327
"885",42.959999,43.360001,42.66,43.099998,5020400,41.377125
"886",43.02,43.209999,42.380001,43.029999,3704300,41.309925
"887",43.34,44.279999,43.32,43.380001,5117900,41.645943
"888",43.860001,45,42.459999,43.400002,7453100,41.665138
"889",43.619999,44.27,42.639999,44.02,5838800,42.260357
"890",44,44.150002,43.209999,43.5,3860100,41.761135
"891",43.619999,44.59,43.529999,44.200001,4992100,42.433159
"892",44.130001,45.029999,44,44.84,2979000,43.047577
"893",45.110001,45.700001,45.060001,45.540001,5431300,43.719593
"894",45.650002,45.990002,45.41,45.84,3435200,44.007595
"895",45.950001,46.540001,45.700001,45.77,4063100,43.940395
"896",45.73,46.16,45.400002,45.740002,3401200,43.911598
"897",45.580002,46.439999,45.580002,46.220001,3618600,44.616268
"898",45.91,46.009998,45.34,45.369999,2654300,43.795757
"899",45.639999,46.830002,45.450001,46.549999,3375200,44.934818
"900",45.91,47.02,45.720001,46.91,3262200,45.282322
"901",47.060001,47.07,46.150002,47.040001,4397300,45.40781
"902",47.369999,47.959999,47.25,47.459999,3547600,45.81324
"903",47.18,47.59,47.110001,47.529999,4427600,45.880814
"904",47.540001,48.209999,47.490002,48.060001,2156200,46.392426
"905",47.200001,48.02,47.110001,47.939999,2772500,46.276585
"906",47.889999,48.509998,47.650002,48.450001,2655400,46.76889
"907",48.419998,48.59,47.73,47.93,2665100,46.266933
"908",48.18,48.369999,47.259998,47.389999,4373600,45.74567
"909",47.580002,48.48,47.509998,48.139999,2949900,46.469643
"910",48.049999,48.380001,47.82,48.009998,2261800,46.344158
