"","CHD.Open","CHD.High","CHD.Low","CHD.Close","CHD.Volume","CHD.Adjusted"
"230",46.91,47.119999,46.330002,46.790001,3081500,44.387848
"231",47.240002,48.099998,46.880001,47.09,3530900,44.672443
"232",46.970001,47.080002,45.939999,46.84,3149200,44.43528
"233",47.25,48.400002,47.060001,48.349998,2666200,45.867752
"234",48.25,48.560001,48,48.279999,2832800,45.801346
"235",48.349998,48.5,47.599998,47.790001,1869700,45.336514
"236",47.73,48.130001,47.5,48.130001,2115400,45.65905
"237",48.209999,48.549999,47.830002,48.400002,1506000,45.915184
"238",48.290001,48.400002,47.880001,47.959999,1447300,45.49778
"239",48.220001,48.77,47.759998,48.389999,1957100,45.905704
"240",48.419998,48.5,47.889999,48.130001,1787100,45.65905
"241",48.18,48.66,48,48.459999,1375700,45.972107
"242",48.759998,49.490002,47.950001,49.060001,3294900,46.541302
"243",48.740002,49.84,48.720001,49.259998,1972600,46.731037
"244",49.540001,50.099998,49.169998,49.220001,1588700,46.693096
"245",49.259998,49.66,49.009998,49.48,1621000,46.939751
"246",49.529999,49.799999,49.349998,49.5,1918900,46.958721
"247",49.669998,50.049999,49.470001,50.049999,1446200,47.480484
"248",50.09,50.299999,49.869999,50.16,923100,47.584827
"249",50.290001,50.290001,49.919998,50.060001,676100,47.489971
"250",50.240002,50.290001,49.84,50.18,951100,47.603809
"251",50.330002,50.59,50.169998,50.169998,902600,47.594322
"252",50.07,50.189999,49.41,49.43,4942300,46.892311
"253",49.5,49.59,48.860001,49.110001,1650000,46.588737
"254",49.259998,50.02,49.23,49.939999,1495700,47.376133
"255",50.080002,50.299999,49.799999,50.07,1478400,47.499458
"256",50.049999,50.759998,50.049999,50.439999,1351800,47.850456
"257",50.459999,50.630001,50.349998,50.389999,1414100,47.803024
"258",50.09,50.189999,49.049999,49.790001,1453800,47.233826
"259",49.720001,49.900002,49.25,49.369999,1666400,46.835392
"260",49.490002,49.540001,48.970001,49.02,1395500,46.503361
"261",49.450001,49.919998,49.209999,49.25,2435900,46.72155
"262",49.549999,50.110001,49.48,49.849998,2057700,47.290745
"263",49.82,50.040001,49.389999,49.470001,1444100,46.930256
"264",49.669998,50.119999,49.669998,49.91,1713800,47.347675
"265",49.77,50.110001,49.689999,50.110001,1892200,47.537399
"266",49.93,49.970001,49.57,49.860001,1685100,47.30024
"267",49.900002,50.02,49.009998,49.110001,2650200,46.588737
"268",49.200001,49.57,49.009998,49.34,2100800,46.806934
"269",49.07,49.130001,48.68,49.110001,2211200,46.588737
"270",49.029999,49.380001,48.919998,48.93,1726000,46.417976
"271",48.880001,49.450001,48.68,49.099998,1774900,46.579247
"272",49.029999,49.389999,48.639999,48.849998,2764000,46.342087
"273",48.91,49.029999,48.43,48.490002,2365700,46.000572
"274",48.139999,48.139999,46.130001,46.330002,5484500,43.951462
"275",46.619999,48.790001,46.619999,47.419998,4838800,44.985497
"276",46.91,48.970001,46.740002,47.869999,5139900,45.412407
"277",48.380001,48.84,47.349998,47.369999,4354600,44.938057
"278",47.459999,48.009998,47.049999,47.380001,2372800,44.947556
"279",47.869999,48.84,47.459999,48.560001,3865000,46.066978
"280",48.68,49.290001,48.16,48.630001,2083900,46.133385
"281",48.5,48.880001,48.439999,48.639999,1604000,46.142868
"282",48.439999,49.060001,48.290001,48.880001,1352300,46.579311
"283",49.009998,49.720001,48.419998,49.709999,1636500,47.370247
"284",49.57,50,49.459999,49.779999,3294700,47.436947
"285",49.419998,49.630001,48.330002,48.380001,2135800,46.102844
"286",48.34,48.790001,47.939999,47.939999,1846900,45.683556
"287",48.040001,48.580002,47.990002,48.169998,1566100,45.902725
"288",48.299999,49.18,48,49.119999,1962700,46.80801
"289",49.369999,50.259998,49.18,49.990002,2189100,47.63707
"290",49.889999,50.529999,49.459999,49.470001,2907300,47.141544
"291",49.740002,49.77,49.189999,49.189999,2481700,46.874722
"292",49.099998,49.73,48.66,49.09,2555700,46.779427
"293",48.98,50.049999,48.98,50.029999,1844900,47.67519
"294",49.990002,50.650002,49.93,50.419998,2104800,48.046829
"295",50.41,50.810001,49.939999,50.77,1624600,48.38036
"296",50.549999,50.59,49.860001,49.959999,2043400,47.608475
"297",49.970001,51,49.880001,50.98,1396400,48.580467
"298",51,51.080002,50.32,50.59,1394500,48.208824
"299",50.650002,50.84,50.459999,50.560001,1355800,48.180237
"300",50.43,50.779999,50.279999,50.740002,1439200,48.351768
"301",50.59,50.900002,49.810001,49.84,1843000,47.494122
"302",49.900002,50.290001,49.349998,49.540001,1378100,47.208252
"303",49.740002,50.07,49.57,50.009998,3123600,47.656124
"304",50.130001,50.740002,49.959999,50.189999,1965200,47.827656
"305",50.25,50.540001,49.509998,49.68,1338600,47.34166
"306",49.610001,49.610001,48.91,48.990002,1541400,46.684132
"307",49,49.34,48.360001,48.380001,1578400,46.102844
"308",48.5,48.66,47.259998,47.299999,2373200,45.073681
"309",47.560001,47.779999,46.93,47.369999,1993200,45.140377
"310",47.369999,48.57,47.290001,48.16,1851000,45.893208
"311",48.32,49.889999,48.32,49.240002,2647000,46.922375
"312",49.529999,50.549999,49.459999,50.360001,1858600,47.989655
"313",50.32,50.32,48.540001,48.93,1936000,46.626953
