"","CB.Open","CB.High","CB.Low","CB.Close","CB.Volume","CB.Adjusted"
"273",155.839996,156.899994,154.580002,155.479996,2088100,143.388733
"274",155.050003,156.440002,153.100006,153.25,1469100,141.332153
"275",152.990005,153.660004,146.570007,147.350006,2327600,135.890991
"276",145,147.089996,141.449997,145.880005,3348700,134.535309
"277",145.600006,149.639999,144.889999,147.520004,3102300,136.047729
"278",147.649994,148.020004,140.309998,140.389999,2266000,129.472229
"279",141.660004,145.589996,140.089996,144.520004,3508400,133.281067
"280",144.979996,146.279999,142.479996,144.610001,2205800,133.364075
"281",143.759995,145.520004,143.360001,145.119995,1387800,133.834396
"282",144.5,147.360001,143.800003,147.289993,1989100,135.835632
"283",147.720001,148.580002,146.279999,147.070007,1783100,135.632751
"284",146.699997,148.100006,146.050003,147,1514300,135.568222
"285",146.889999,147.660004,144.539993,145.440002,1270500,134.129532
"286",145.529999,146.740005,143.669998,143.720001,1581300,132.543304
"287",144,145.289993,142.720001,143.070007,1996700,131.943802
"288",143.279999,144.009995,142.190002,144.009995,1386400,132.810699
"289",144.190002,146.649994,144.029999,146.139999,1803200,134.775085
"290",146.110001,146.580002,144.190002,144.190002,1739400,132.976715
"291",144.679993,145.669998,141.830002,141.919998,1315300,130.883255
"292",142.029999,143.350006,139.179993,139.809998,1377000,128.937317
"293",139.039993,140.020004,137.490005,139.860001,1784600,128.983459
"294",139.509995,142.479996,139.110001,141.559998,1357000,130.55127
"295",141.75,142.220001,140.399994,141.929993,1176300,130.892471
"296",140.800003,141.139999,139.570007,140.639999,1462700,129.702774
"297",140.759995,142.330002,140.220001,141.910004,1247700,130.874054
"298",142.729996,144,141.179993,144,1569000,132.801514
"299",144.190002,145.080002,142.169998,143.089996,1149000,131.96225
"300",144.149994,144.309998,141.770004,141.940002,1307400,130.901688
"301",142.699997,142.699997,140.190002,140.759995,1354000,129.813446
"302",141.039993,142.410004,140.679993,141.059998,1378700,130.090149
"303",141.169998,142.539993,140.229996,140.979996,2699500,130.016342
"304",140.809998,141.5,139.470001,140.300003,1414900,129.389221
"305",140.850006,142.029999,139.630005,141.320007,1197200,130.32991
"306",141.679993,141.75,140.220001,140.259995,1068000,129.352325
"307",139.630005,140.630005,137.380005,137.639999,1543100,126.936089
"308",137.720001,138.149994,134.380005,134.570007,1940000,124.104858
"309",136.089996,137.559998,135.210007,137.020004,1435100,126.364334
