"","UNH.Open","UNH.High","UNH.Low","UNH.Close","UNH.Volume","UNH.Adjusted"
"34",157.619995,160.820007,157.520004,160.570007,5419000,149.3862
"35",160.910004,161.779999,159.639999,160.570007,2725300,149.3862
"36",161.330002,162.600006,160.690002,162.600006,2459600,151.274811
"37",162.669998,163.089996,161.740005,163.059998,2715700,151.702759
"38",163.160004,165.460007,162.809998,165.380005,4071800,153.861191
"39",165.470001,166.759995,164.899994,165.380005,4382100,153.861191
"40",166.720001,168.600006,166.350006,167.940002,3514200,156.242874
"41",168.320007,168.429993,166.960007,167.309998,1889800,155.656769
"42",167.309998,168.449997,166.619995,168.199997,2254400,156.484772
"43",167.429993,169.350006,167.130005,168.699997,2576500,156.949936
"44",168.449997,169.360001,167.929993,168.300003,2702300,156.577805
"45",167.509995,168.460007,166.800003,167.910004,2048200,156.797256
"46",168.149994,169.070007,167.740005,168.009995,3631400,156.89064
"47",168.419998,170,168.059998,169.979996,3716600,158.73027
"48",169.990005,170.929993,169.550003,170.210007,3130200,158.945007
"49",169.660004,170.179993,168.5,169.059998,2522600,157.87114
"50",169.360001,171.970001,169.289993,171.779999,2807600,160.411133
"51",172.070007,172.139999,170.220001,171.300003,3138600,159.962906
"52",171.089996,171.539993,169.589996,169.699997,5622900,158.468796
"53",169.929993,170.240005,167.919998,168,3928600,156.881317
"54",168.669998,168.820007,167.059998,167.699997,4953100,156.601166
"55",168.130005,168.380005,165.630005,167.029999,2999800,155.97551
"56",166.229996,166.929993,164.770004,165.289993,3947400,154.350647
"57",166.130005,167.399994,164.350006,165,5243900,154.079834
