"","ABC.Open","ABC.High","ABC.Low","ABC.Close","ABC.Volume","ABC.Adjusted"
"922",96.970001,97.93,96.959999,97.029999,950000,95.172096
"923",97.449997,97.75,93.169998,94.300003,1055600,92.494377
"924",94.349998,98.790001,94.349998,98.290001,1688200,96.407974
"925",98.769997,100.089996,96.690002,97.580002,1312800,95.711563
"926",97.5,97.660004,95.489998,96.599998,731200,94.750336
"927",96.510002,96.720001,94.900002,95.360001,997400,93.534073
"928",95.830002,96.849998,94.82,96.199997,801800,94.357986
"929",96.410004,96.769997,94.230003,94.269997,1134900,92.464943
"930",94.849998,94.900002,92.839996,94.080002,677800,92.278595
"931",94.5,95.07,92.639999,94.599998,1131600,92.788628
"932",94.879997,96.080002,94.330002,94.900002,919600,93.082893
"933",95.610001,97.959999,94.989998,96.790001,1033900,94.936699
