"","SPG.Open","SPG.High","SPG.Low","SPG.Close","SPG.Volume","SPG.Adjusted"
"712",154,154.75,146.660004,151.179993,1885600,134.598343
"713",151.580002,152.429993,149.869995,150.679993,1559000,134.153168
"714",151.729996,154.130005,151.179993,154.100006,1217400,137.198044
"715",153.899994,158.399994,153.369995,158.059998,1810900,140.723724
"716",158,158.369995,155.520004,156.410004,1824200,139.2547
"717",156.470001,157.5,154.660004,155.080002,1942300,138.070557
"718",155.539993,157.039993,154.940002,155.970001,1585700,138.862946
"719",155.089996,155.869995,153.369995,154.490005,1164600,137.545288
"720",154.119995,155.970001,153.380005,155.419998,1449200,138.373276
"721",155.270004,156.929993,153.369995,153.600006,1514300,136.752899
"722",153.589996,155.449997,153.539993,154.339996,1313100,137.411728
"723",152.009995,154.389999,151.970001,153.570007,1120700,138.612213
"724",153.889999,154.75,153.020004,154,1034100,139.000305
"725",154.130005,154.449997,153.130005,153.710007,981100,138.738571
"726",153.490005,153.490005,150.380005,150.839996,1124400,136.148087
"727",150.320007,150.690002,145.869995,148.229996,1801400,133.792313
"728",148.100006,148.309998,146.229996,146.509995,1506800,132.239838
"729",147.080002,148.210007,144.520004,147.699997,1224800,133.313904
"730",147.869995,149.830002,147.130005,149.240005,1513100,134.703949
"731",149.75,151.029999,148.580002,150.740005,2012400,136.057816
"732",150.740005,151.339996,149.5,151.220001,1088700,136.491058
"733",150.809998,151.589996,150.059998,151.210007,789500,136.482056
"734",151.369995,151.490005,147.869995,148.860001,1820800,134.360931
"735",148.470001,149.100006,146.070007,148.119995,1729200,133.693008
"736",147.139999,149.940002,146.960007,149.139999,1712800,134.613663
"737",149.089996,149.509995,147.389999,148.5,1379300,134.036011
"738",148.020004,149.779999,148,148.240005,1078400,133.801346
"739",148.479996,150.119995,147.619995,149.789993,1045300,135.200348
"740",149.899994,150.059998,147.970001,149.039993,1896000,134.523422
"741",146.630005,147.440002,144.759995,145.399994,3609200,131.237915
"742",145.580002,146.690002,142.399994,144.009995,3093100,129.983337
"743",145.070007,146.169998,143.289993,144.350006,2403100,130.290222
"744",145.059998,145.610001,142.899994,145.580002,2422300,131.400436
"745",146.009995,146.009995,143.949997,144.660004,2263400,130.570023
"746",143.75,145.5,143.75,144.350006,2007700,130.290222
"747",144.220001,145.440002,143.75,145.350006,1765100,131.19281
"748",146.270004,146.880005,144.630005,145.490005,2836500,131.319199
"749",145.619995,146.25,144.300003,144.970001,1429600,130.849838
"750",145.190002,146.220001,144.789993,145.770004,518600,131.571915
"751",146.020004,147.309998,145.990005,146.619995,1043700,132.339111
"752",147.029999,147.979996,146.820007,147.589996,1087200,133.21463
"753",147.600006,148.809998,146.899994,147.589996,1070800,133.21463
"754",147.309998,148.970001,147.009995,148.960007,1473900,134.451218
