"","WST.Open","WST.High","WST.Low","WST.Close","WST.Volume","WST.Adjusted"
"846",205.449997,209.75,201.089996,203.869995,475100,203.224152
"847",202.339996,210.610001,202.009995,210.350006,447600,209.683624
"848",210.929993,214.979996,210.130005,214.169998,847200,213.491516
"849",217.119995,221.960007,216.559998,218.399994,427500,217.708115
"850",214.25,216.369995,210.960007,211.570007,1203000,210.89978
"851",214.399994,214.399994,209.149994,210.089996,1083600,209.424469
"852",209.699997,214.990005,207.649994,211.020004,16495700,210.351501
"853",212.75,213.660004,209.509995,211.440002,536300,210.770172
"854",213.740005,214.979996,204.800003,205.949997,729200,205.297562
"855",204.25,204.990005,195.220001,201.289993,915900,200.652313
"856",203,209.089996,202.970001,206.029999,755800,205.377304
"857",207.679993,217.210007,207.679993,216.039993,1589400,215.355591
"858",214.550003,216.369995,210.570007,212.139999,443200,211.467957
"859",210.75,211.649994,207.220001,211.320007,526400,210.650558
"860",211.190002,212.330002,208.289993,209.369995,464200,208.706726
"861",208.550003,211.779999,204.119995,205.389999,492600,204.739334
"862",202.630005,206.600006,201.800003,205.729996,546600,205.078262
"863",201.550003,207.690002,201,207.660004,660600,207.002151
"864",209.029999,211.539993,206.210007,206.289993,470100,205.636475
"865",207.800003,213.699997,207.5,212.869995,598200,212.195633
"866",212.100006,213.279999,201.960007,203.770004,609700,203.124496
"867",206.850006,208.429993,198.160004,200.729996,681500,200.094101
"868",199.179993,209.869995,197.720001,209.369995,707700,208.706726
"869",211.130005,211.130005,204.889999,210.479996,467600,209.813232
"870",212.110001,215.259995,210,211.25,779900,210.580765
"871",211.889999,214.320007,211.059998,212.649994,692600,211.976364
"872",215.919998,216.990005,212.759995,216.589996,1186900,215.903854
"873",216.229996,219.220001,214.059998,217.800003,759400,217.110031
