"","ISRG.Open","ISRG.High","ISRG.Low","ISRG.Close","ISRG.Volume","ISRG.Adjusted"
"618",170,172.976669,169.186661,172.426666,2490300,172.426666
"619",172.07666,174.199997,170.933334,173.979996,1598100,173.979996
"620",175,177.940002,174.669998,177.683334,2682300,177.683334
"621",176.703339,176.740005,173.839996,175.743332,3310800,175.743332
"622",176,176.956665,175.059998,175.266663,1955100,175.266663
"623",175.333328,175.690002,173.056671,173.509995,2030100,173.509995
"624",174.513336,174.513336,170.263336,171.240005,1397100,171.240005
"625",172.376663,173.333328,169.843338,172.58667,1245900,172.58667
"626",172.646667,174.996674,171,174.850006,1834800,174.850006
"627",177.333328,178.333328,175.323334,176.436661,1203900,176.436661
"628",176.339996,177.169998,174.403336,176.506668,1830900,176.506668
"629",176.666672,180.153336,176.17334,179.059998,1459800,179.059998
"630",177.339996,179.666672,175.610001,179.083328,1296300,179.083328
"631",178.210007,178.210007,176.406662,177.720001,1395900,177.720001
"632",176.33667,177.546661,175.436661,176.089996,1911900,176.089996
"633",176.666672,179.190002,176.356674,177.426666,2475900,177.426666
"634",178.029999,179.273331,177.546661,178.666672,1206900,178.666672
"635",177.070007,177.070007,173.503326,175.416672,2198400,175.416672
"636",176.343338,178.07666,175.53334,175.916672,1276500,175.916672
"637",175.706665,176.78334,171.419998,171.853333,2708100,171.853333
"638",172.17334,175.610001,172.17334,174.5,2050500,174.5
"639",174.166672,179.073334,173.796661,178.876663,2553300,178.876663
"640",177.75,181.616669,175.123337,176.270004,4262700,176.270004
"641",178,179.636673,176.036667,178.5,1962600,178.5
"642",177.380005,180,176.373337,179.263336,2017500,179.263336
"643",178.57666,181.270004,177.636673,181.013336,1904100,181.013336
"644",179.429993,180,176.696671,177.229996,1751100,177.229996
"645",177.806671,178,174.653336,175.876663,1377300,175.876663
"646",176.196671,176.863327,174.333328,176.536667,1078800,176.536667
"647",175.396667,178.363327,175.183334,177.213333,1217700,177.213333
"648",177.006668,177.056671,171.669998,173.169998,1779900,173.169998
"649",173.496674,177.633331,172.21666,174.649994,1851000,174.649994
"650",173.429993,173.960007,169.806671,171.199997,2204700,171.199997
"651",167.083328,167.66333,162.286667,163.820007,2611200,163.820007
"652",164.789993,168.160004,164.253326,167.92334,1960500,167.92334
"653",166.410004,169.113327,164.463333,168.453339,1475100,168.453339
"654",169.866669,173.213333,169.136673,173.136673,1385400,173.136673
"655",172.029999,172.880005,169.346664,171.833328,1155000,171.833328
"656",171,172.253326,169.33667,169.960007,1089900,169.960007
"657",169.303329,173.656662,167.666672,172.666672,1517400,172.666672
"658",170.166672,171.080002,166.666672,166.820007,1866300,166.820007
"659",167.779999,169.166672,165.029999,166.623337,1478700,166.623337
"660",168.316666,168.333328,164.470001,165.149994,2875800,165.149994
"661",167.833328,167.833328,162.896667,165.166672,3060000,165.166672
"662",165.880005,166.666672,164.130005,165.943329,2085600,165.943329
"663",167.166672,168.273331,166.666672,167.093338,1218300,167.093338
"664",167.333328,167.936661,165.199997,166.756668,1107900,166.756668
"665",166.32666,167.32666,160.666672,161.526672,2095200,161.526672
"666",163.286667,163.743332,160.866669,163.696671,1442100,163.696671
"667",165,166.630005,164.080002,165.006668,1638000,165.006668
"668",164,167.636673,164,167.083328,1803900,167.083328
"669",168.559998,170.166672,167.649994,169.386673,1315500,169.386673
"670",170.130005,171.21666,169.350006,170.446671,1750200,170.446671
"671",168.410004,169.936661,163.363327,164.646667,2682000,164.646667
"672",165.779999,166.350006,163.113327,165.406662,1452000,165.406662
"673",167.226669,171,166.32666,169.389999,1878000,169.389999
"674",169.816666,170.046661,167.333328,168.419998,1875600,168.419998
"675",168.026672,168.666672,165.309998,165.563339,1586100,165.563339
"676",165,167.600006,162.666672,167.433334,2410500,167.433334
"677",168.176666,175.003326,167.433334,174.273331,2964000,174.273331
"678",174.539993,175.993332,173.753326,174.373337,1847400,174.373337
