"","BMY.Open","BMY.High","BMY.Low","BMY.Close","BMY.Volume","BMY.Adjusted"
"370",54.18,54.389999,53.5,53.939999,5844200,48.369461
"371",54.650002,55.34,54.240002,55.139999,10218500,49.44553
"372",55,55.330002,54.25,54.669998,7436700,49.024075
"373",54.599998,55.240002,54.580002,54.91,8749700,49.239288
"374",54.650002,54.810001,54.299999,54.470001,9406600,48.844734
"375",54.490002,55.639999,54.48,55.299999,10414600,49.589012
"376",55.290001,55.849998,55.150002,55.34,7726700,49.624878
"377",55.169998,55.240002,54.48,55.189999,5499300,49.490368
"378",55.25,56.02,55.09,55.650002,3933200,49.902866
"379",55.43,56.91,54.869999,55.950001,5349900,50.535122
"380",56.220001,56.68,56.110001,56.560001,5157500,51.086082
"381",56.639999,56.75,56.299999,56.450001,4119300,50.986736
"382",56.77,56.77,56,56.18,3717700,50.742847
"383",56,56.110001,55.529999,55.75,3898000,50.354473
"384",56.549999,56.849998,56.189999,56.810001,4081500,51.311886
"385",56.619999,57.07,56.529999,56.860001,3685100,51.357052
"386",56.880001,56.93,56.209999,56.43,3777400,50.968666
"387",56.630001,56.810001,56.41,56.630001,3900600,51.149315
"388",56.580002,56.91,56.290001,56.880001,3730300,51.375114
"389",56.84,56.93,56.080002,56.540001,3796900,51.068024
"390",56.599998,56.880001,56.419998,56.709999,4768400,51.221561
"391",56.009998,56.169998,55.450001,55.880001,7593900,50.471897
"392",56.080002,58.27,56.040001,58.259998,9670400,52.621555
"393",58.080002,59.209999,57.950001,59.040001,8873700,53.326073
"394",60.110001,60.990002,56.080002,57.919998,14646200,52.314461
"395",58.560001,58.759998,56.830002,56.919998,6387000,51.411243
"396",56.919998,59.02,56.82,58.93,8096600,53.226711
"397",59.139999,59.419998,58.41,58.75,6561000,53.064129
"398",58.860001,60.189999,58.77,59.619999,7722700,53.849926
"399",59.5,59.73,58.639999,59.27,5852200,53.533813
"400",59.150002,59.349998,58.889999,59.16,4666500,53.434452
"401",59.029999,59.630001,58.720001,59.389999,5524800,53.642185
"402",59.380001,59.490002,58.830002,58.98,5123200,53.271877
"403",59.34,60.439999,58.860001,60.169998,7005800,54.346703
"404",59.77,60.139999,59.349998,59.529999,3998500,53.768639
"405",59.619999,59.830002,58.98,59.310001,3535500,53.569939
"406",59.200001,59.799999,59.119999,59.419998,4797800,53.669289
"407",59.299999,60.139999,59.299999,59.959999,5212600,54.157032
"408",59.869999,60.419998,59.389999,60.259998,5214600,54.427994
"409",60.279999,61.349998,59.93,61.110001,7285500,55.195728
"410",61.299999,61.59,60.799999,60.889999,8868300,54.997025
"411",61.110001,61.110001,60.32,60.32,6186900,54.482185
"412",60.41,60.66,60.060001,60.080002,5098600,54.265423
"413",60.119999,60.740002,59.869999,60.57,5556200,54.707993
"414",60.540001,60.73,59.919998,60.09,3416500,54.274452
