"","AMGN.Open","AMGN.High","AMGN.Low","AMGN.Close","AMGN.Volume","AMGN.Adjusted"
"543",191.389999,192.059998,190.470001,191.160004,2409400,176.465027
"544",191.820007,192.119995,187.410004,189.779999,2274800,175.191132
"545",190,190.669998,188.789993,188.820007,3445200,174.304916
"546",188.880005,189.369995,182.429993,183.149994,3956100,169.070801
"547",182.919998,183.160004,180.600006,181.460007,3421700,167.510712
"548",180.600006,181.309998,179.009995,180.869995,2750900,166.966034
"549",181.839996,184.600006,181.399994,184.139999,2816900,169.984665
"550",184.610001,184.949997,183.520004,184.179993,2677500,170.021606
"551",184.699997,188.339996,184.190002,187.350006,2719700,172.947922
"552",187.529999,188.860001,185.889999,187.759995,2909600,173.326385
"553",188.460007,191.639999,188.100006,191.240005,6865000,176.538879
"554",191.080002,192.520004,190.190002,191.309998,2430200,176.603516
"555",191.929993,192.759995,190.919998,191.490005,2268700,176.769684
"556",191.5,192.770004,189.869995,191.119995,2378700,176.428131
"557",189.729996,192.369995,189.179993,191.889999,2292900,177.138901
"558",190.960007,192.869995,186.550003,186.699997,3144700,172.34787
"559",186.639999,187.779999,185.039993,186.589996,2523700,172.246353
"560",187.550003,189.589996,187.029999,188.270004,2359100,173.797211
"561",188.25,188.600006,185.220001,186.320007,2022600,171.997086
"562",187.080002,187.889999,186,187.649994,1885600,173.224854
"563",189.369995,191,188.5,189.979996,3189700,175.375732
"564",191.139999,192.559998,190.509995,191.770004,2660500,177.028137
"565",191.809998,192.820007,191.199997,192.429993,2141800,177.637405
"566",193.179993,193.869995,191.710007,192.919998,1948100,178.089737
"567",192.850006,194.429993,190.990005,192.330002,1785900,177.54512
"568",193.880005,196.869995,193.300003,195.410004,2163300,180.388351
"569",194.529999,195.309998,192.559998,194.880005,1629800,179.899063
"570",193.589996,194,192.509995,192.979996,1872600,178.145142
"571",194.149994,195,192.339996,193.889999,1653200,178.985184
"572",194.570007,194.789993,190.649994,192.110001,2082600,177.34201
"573",193.020004,193.479996,190.789993,191.419998,2060800,176.705063
"574",191.839996,193.179993,189.850006,191.199997,2038300,176.501953
"575",192.270004,192.570007,187.440002,188.050003,2727300,173.594116
"576",188.350006,188.740005,181.529999,182.470001,5242100,168.443054
"577",183.240005,183.490005,176.850006,177.470001,8266600,163.827423
"578",177.100006,177.570007,174.869995,176.360001,3215800,162.80275
"579",176.940002,180.649994,175.75,179.759995,3471700,165.94136
"580",180.139999,180.830002,178.259995,178.300003,2711600,164.593628
"581",177.080002,181.020004,175.919998,180.479996,2453700,166.606018
"582",180.699997,181.850006,180.029999,181.470001,2445400,167.519913
"583",181.449997,182.470001,179.589996,181.169998,2662500,167.242981
"584",181.630005,182.039993,177.880005,179.320007,3963000,165.535217
