"","CTXS.Open","CTXS.High","CTXS.Low","CTXS.Close","CTXS.Volume","CTXS.Adjusted"
"33",79.75,80.769997,79.68,80.5,2056900,77.536766
"34",80.519997,81.099998,80.18,80.769997,2540400,77.796822
"35",80.43,80.889999,79.809998,80.169998,1847100,77.218918
"36",80.32,80.470001,79.309998,79.93,1514600,76.98774
"37",79.730003,80.190002,78.93,80.18,1279800,77.228539
"38",80.129997,80.339996,79.559998,80.160004,769800,77.209282
"39",79.470001,79.82,78.910004,78.949997,1868500,76.043816
"40",79.720001,80.970001,79.230003,80.769997,2369500,77.796822
"41",80.400002,80.400002,79.190002,79.330002,2021400,76.409843
"42",79.510002,80.110001,78.879997,79.949997,1296200,77.007011
"43",79.900002,80,79.110001,79.660004,2189000,76.727684
"44",79.720001,80.389999,79.389999,79.900002,1528400,76.958847
"45",79.919998,80.580002,79.419998,79.919998,1169000,76.978104
"46",79.910004,80.07,78.489998,79.029999,1668800,76.120872
"47",79.360001,79.790001,79.059998,79.529999,1388800,76.602478
"48",79.580002,87.989998,79.050003,84.93,5459000,81.803696
"49",84.510002,84.769997,81.040001,82.019997,5427900,79.000816
"50",81.650002,83.220001,81.449997,82.510002,3211500,79.472778
"51",82.769997,82.989998,81.910004,82.57,1546800,79.530571
"52",83.029999,83.07,82.099998,82.720001,2411500,79.675049
"53",82.809998,82.959999,81.949997,82.489998,1246800,79.453506
"54",82.739998,82.830002,81.459999,81.510002,2175800,78.509583
"55",81.809998,82.68,81.330002,82.199997,1105900,79.174179
"56",82.07,84.139999,81.730003,83.389999,3846200,80.320381
"57",83.669998,84.75,82.940002,83.139999,1475000,80.07959
"58",82.699997,84.349998,81.879997,83.57,1885500,80.493759
"59",83.970001,84.199997,83.230003,83.989998,1893000,80.8983
"60",83.550003,83.830002,82.330002,83.589996,1097000,80.513016
"61",83.459999,84.25,83.459999,84.110001,1074000,81.013885
"62",83.550003,84.120003,83.370003,83.389999,1391500,80.320381
"63",83.540001,84.080002,82.790001,83.440002,1901800,80.368553
"64",83.419998,83.980003,82.669998,83.300003,964600,80.233696
"65",83.699997,84.269997,82.699997,82.959999,1076400,79.906212
"66",83.099998,83.339996,82.510002,83.059998,1828600,80.002533
"67",83,83.57,82.739998,83.150002,2021200,80.089211
"68",83.199997,83.68,82.940002,83.440002,711000,80.368553
