"","PTC.Open","PTC.High","PTC.Low","PTC.Close","PTC.Volume","PTC.Adjusted"
"114",56.720001,57.139999,53.939999,56.970001,1174900,56.970001
"115",56.889999,57.43,56.220001,57.139999,1302900,57.139999
"116",57.599998,57.98,57.02,57.43,827400,57.43
"117",57.32,57.810001,56.650002,56.82,628900,56.82
"118",57.060001,57.669998,56.810001,57.389999,786200,57.389999
"119",57.48,58.099998,57.18,57.799999,977900,57.799999
"120",57.700001,59.389999,57.700001,58.889999,2382900,58.889999
"121",59.299999,60.220001,58.439999,58.490002,1090700,58.490002
"122",58.259998,58.279999,56.040001,56.209999,1153300,56.209999
"123",56.669998,57.169998,55.880001,57,1034700,57
"124",56.970001,56.970001,54.700001,55.509998,956100,55.509998
"125",55.720001,55.869999,54.990002,55.119999,1429600,55.119999
"126",55.400002,55.669998,53.830002,53.889999,1305400,53.889999
"127",54.16,56.23,53.459999,56.110001,1475700,56.110001
"128",55.509998,56.060001,54.959999,55.529999,1257300,55.529999
"129",55.759998,57.34,55.73,56.790001,985400,56.790001
"130",56.709999,57.16,56.119999,56.810001,816100,56.810001
"131",56.799999,57.560001,56.549999,57.380001,886400,57.380001
"132",58.240002,58.650002,57.599998,58.02,848100,58.02
"133",58.169998,58.299999,57.119999,57.369999,884900,57.369999
"134",57.709999,58.189999,57.369999,58.060001,1107600,58.060001
"135",57.91,58.049999,56.919998,57.490002,1378600,57.490002
"136",57.25,58.139999,56.950001,58.049999,940000,58.049999
"137",58.400002,59.290001,58,58.919998,2101100,58.919998
"138",54.299999,55.849998,53.5,54.099998,8866300,54.099998
"139",54.009998,55.389999,53.66,55.220001,3511000,55.220001
"140",55.240002,55.799999,54.400002,55.73,1739500,55.73
"141",55.799999,55.939999,55.150002,55.740002,1627500,55.740002
"142",55.919998,56.360001,55.459999,55.880001,1237100,55.880001
"143",56.259998,56.41,54.18,55.200001,1473700,55.200001
"144",54.889999,55.650002,54.25,55.32,815000,55.32
"145",55.560001,55.619999,54.849998,55.189999,1022100,55.189999
"146",55.360001,55.610001,55.040001,55.48,1036500,55.48
"147",55.889999,55.889999,54.310001,54.439999,1114800,54.439999
"148",54.439999,54.540001,53.529999,54.110001,1349100,54.110001
"149",54.279999,54.450001,53.889999,54.060001,698800,54.060001
"150",54.07,54.380001,53.860001,54.150002,371600,54.150002
