"","CTSH.Open","CTSH.High","CTSH.Low","CTSH.Close","CTSH.Volume","CTSH.Adjusted"
"143",70.059998,70.489998,69.25,69.720001,3359600,66.294762
"144",69.540001,69.900002,69.18,69.32,3926100,65.914413
"145",69.550003,69.75,69.239998,69.32,4589400,65.914413
"146",69.389999,70.019997,69.389999,69.510002,4516800,66.095093
"147",69.440002,69.519997,68.040001,68.519997,8021600,65.153702
"148",67.830002,70.050003,67.720001,69.949997,5882700,66.513443
"149",70.800003,71.57,70.599998,71.18,4555400,67.683037
"150",71.089996,71.169998,69.529999,69.589996,4235100,66.171143
"151",69.989998,70.75,69.519997,70.279999,3709200,66.827255
"152",70.019997,71.080002,69.730003,71.010002,3718600,67.521385
"153",70.510002,71.080002,69.919998,70.010002,3098900,66.570511
"154",70.129997,70.709999,69.959999,70.610001,3453500,67.141029
"155",71.099998,71.870003,70.940002,71.839996,2598300,68.310616
"156",71.860001,71.910004,71.5,71.669998,4298000,68.148956
"157",71.980003,72.07,71.559998,72.059998,2392100,68.519791
"158",71.82,71.980003,70.360001,70.389999,3098800,66.931847
"159",69.699997,70.510002,69.580002,70.07,2636100,66.769844
"160",70.169998,70.169998,69.330002,69.519997,2429400,66.245743
"161",69.720001,70.300003,69.599998,70.150002,2918300,66.846092
"162",70.010002,70.129997,69.839996,70.019997,2021400,66.722206
"163",70.120003,70.339996,69.519997,69.82,1473600,66.531616
"164",70.089996,70.739998,69.769997,69.779999,2959000,66.493492
"165",69.980003,70.290001,69.809998,69.959999,2961900,66.665031
"166",69.389999,69.779999,69.239998,69.650002,1666300,66.369621
"167",69.580002,69.879997,69.370003,69.669998,1943400,66.388695
"168",69.839996,71,69.699997,70.769997,3379100,67.436867
"169",70.849998,71.230003,70.75,70.830002,2862100,67.494057
"170",70.57,70.730003,69.879997,70.540001,1983000,67.217712
"171",70.730003,71.07,70.529999,70.93,1636700,67.589325
"172",71.019997,71.800003,70.949997,71.419998,2174500,68.056267
"173",71.220001,71.629997,71,71.099998,2479700,67.751343
"174",71.720001,72.330002,71.209999,72.18,3161000,68.780472
"175",72.379997,73,72.099998,72.839996,2854300,69.409378
"176",72.82,72.989998,72.190002,72.269997,3279600,68.866226
"177",71.989998,72.239998,71.5,71.739998,3333300,68.361191
"178",71.769997,71.93,71.410004,71.82,3927800,68.437424
"179",72.129997,72.32,71.809998,72.040001,1565500,68.647072
"180",72.25,72.82,72.129997,72.5,2620400,69.085411
"181",72.629997,72.839996,72.010002,72.459999,2568500,69.047279
"182",72.370003,72.580002,71.860001,71.860001,2382300,68.475555
"183",71.959999,72.470001,71.910004,72.059998,3568300,68.666122
"184",71.910004,72.050003,71.040001,71.690002,2195600,68.313538
"185",71.93,72.519997,71.510002,71.620003,3768000,68.246841
"186",72.029999,72.330002,71.529999,71.910004,2037400,68.523209
"187",71.480003,72.169998,71.389999,72.139999,1640800,68.742355
"188",71.989998,72.650002,71.93,72.540001,1953100,69.12352
"189",72.510002,73.279999,72.349998,72.449997,1897100,69.037758
"190",72.459999,72.919998,72.220001,72.550003,2638600,69.133041
"191",72.5,73.029999,72.260002,72.650002,4474400,69.228333
"192",73.059998,73.230003,72.629997,73.199997,3628200,69.752426
"193",73,73.830002,73,73.800003,2249300,70.324181
"194",73.910004,73.910004,73.199997,73.650002,1925400,70.181236
"195",73.620003,74.099998,73.620003,74,2089200,70.514748
"196",73.889999,74.010002,73.150002,73.599998,2468200,70.133591
"197",73.739998,74.470001,73.739998,74.089996,2675600,70.600517
"198",74.610001,74.769997,74.230003,74.379997,1467000,70.876854
"199",74.440002,74.510002,73.790001,74.169998,1214400,70.676743
"200",74.120003,74.129997,73.599998,73.970001,1387200,70.486176
"201",74,74.330002,73.639999,73.940002,2050400,70.457596
"202",73.610001,74.470001,73.419998,74.269997,1658800,70.772041
"203",74.5,74.82,74.190002,74.800003,2905200,71.277092
"204",74.980003,75,74.300003,74.400002,2665600,70.89592
"205",74.32,74.699997,74.150002,74.690002,3549200,71.172279
"206",74.43,74.75,74.099998,74.25,2375000,70.752975
"207",74.650002,75.510002,74.540001,74.580002,3390200,71.067459
