"","MPWR.Open","MPWR.High","MPWR.Low","MPWR.Close","MPWR.Volume","MPWR.Adjusted"
"927",246.020004,252.960007,241.940002,242.630005,344300,240.736893
"928",248.119995,249.330002,243.970001,246.559998,444700,244.636215
"929",248.5,249.860001,241.919998,243.190002,295500,241.292511
"930",242.460007,245.479996,235.619995,237.029999,396400,235.180573
"931",242.779999,248.429993,242.380005,247.600006,253500,245.668106
"932",257.179993,269.130005,252,258.670013,536300,256.651764
"933",260.829987,261.769989,249.289993,250.240005,302000,248.287537
"934",244.029999,253.149994,244.029999,252.110001,258200,250.142914
"935",254.130005,255.229996,245.770004,253.940002,635800,251.958649
"936",248.779999,257.149994,247.869995,255.970001,373700,253.972809
"937",257.98999,259.730011,251.509995,259.480011,407300,257.455414
"938",258.429993,258.76001,250.740005,252.059998,196100,250.093307
"939",250.009995,261.410004,250.009995,259.589996,276300,257.564575
"940",259.579987,265.910004,255.100006,265.179993,242900,263.110931
"941",272.089996,275.339996,269.290009,274.880005,344600,272.73526
"942",273.279999,279.220001,273.279999,276.609985,189300,274.951874
"943",275.459991,282.880005,275.459991,279.609985,263300,277.933899
"944",280.850006,285.329987,278.170013,280.339996,348900,278.659546
"945",274.730011,277.450012,271.730011,272.369995,254100,270.737305
"946",274.839996,282.76001,273.690002,282.5,372400,280.806549
"947",281.589996,292.100006,281.589996,286.51001,357300,284.792572
"948",292.820007,298.829987,289.480011,298.320007,347300,296.531799
"949",299,303.690002,297.329987,303,204100,301.183685
"950",305.700012,317.970001,305.700012,315.459991,397400,313.569
"951",319.640015,322.73999,314.190002,316.200012,311400,314.304565
"952",315.869995,320.070007,314.429993,315.480011,265700,313.588928
"953",315.480011,317.839996,312.799988,314.390015,333500,312.505432
"954",309.179993,322.869995,306.100006,320.929993,272100,319.006195
"955",324.140015,325.179993,314.01001,315.209991,259800,313.320496
"956",317.73999,322.75,310.980011,312.410004,384700,310.537292
"957",313.529999,318.529999,313.119995,315.920013,237800,314.026276
"958",317.230011,318.730011,310.829987,311.179993,255700,309.314636
"959",311.880005,318.269989,309.779999,314.829987,252300,312.94278
"960",316.369995,321.75,314.160004,321.450012,233800,319.523102
"961",317.899994,324.440002,310.559998,316.950012,241600,315.05011
"962",319.339996,321.679993,316.23999,319.880005,260600,317.962524
"963",313.540009,319.5,303.549988,303.76001,298000,301.939148
"964",304.700012,324.380005,304.700012,318.630005,450700,316.720001
"965",307.619995,320.290009,302.880005,319.600006,561900,317.684204
"966",325.839996,326.910004,313.049988,315.26001,342800,313.370209
"967",319.799988,322.480011,313.329987,314.390015,391200,312.505432
"968",319.48999,338.920013,318.269989,335.859985,667200,333.84671
"969",342.25,357.470001,338.26001,356.600006,729100,354.462402
"970",356.299988,358.690002,347.190002,357.179993,285500,355.03891
"971",356.799988,358.290009,316.01001,316.839996,826700,314.940704
"972",314.559998,319.940002,302.48999,309.76001,567700,307.903198
"973",313.529999,322,313.350006,317.440002,599700,315.53714
"974",318.779999,319.579987,309.450012,310.75,309600,308.887238
"975",314.920013,317.600006,303.23999,306.950012,368100,305.109985
"976",304.859985,307.339996,296.209991,306,489600,304.16568
"977",306.130005,306.649994,300,302.850006,298400,301.034607
"978",302.690002,307.130005,299.829987,300.109985,230800,298.311005
"979",301.100006,313.929993,300.450012,312.320007,416500,310.447815
"980",313.209991,320.209991,309.690002,315.730011,292100,313.837402
"981",317.359985,322.200012,309.809998,318.899994,382100,316.988403
"982",318.420013,319.399994,301.390015,304.690002,763400,302.863586
