"","APD.Open","APD.High","APD.Low","APD.Close","APD.Volume","APD.Adjusted"
"149",147.410004,148.039993,147.020004,147.220001,804500,133.345428
"150",147.940002,147.940002,146.929993,147.300003,866600,133.417908
"151",147.210007,147.289993,145.630005,145.850006,866100,132.104568
"152",145.839996,146.360001,145.570007,146.25,1162800,132.466827
"153",145.520004,146,144.889999,145.020004,1054200,131.352753
"154",143.809998,145.789993,143.809998,144.600006,1068600,130.972366
"155",145.479996,147.429993,145.369995,146.639999,1337800,132.820114
"156",146.5,146.910004,145.800003,146.809998,1319200,132.974091
"157",147,148.160004,146.910004,148.080002,1232300,134.124374
"158",147.880005,148.100006,145.529999,145.539993,1207600,131.823761
"159",145.429993,146.350006,144.800003,145.759995,1402400,132.023026
"160",145.740005,145.75,144.919998,145.149994,1584700,131.470505
"161",145.839996,146.800003,145.399994,145.949997,1232400,132.195145
"162",145.360001,145.759995,144.949997,145.160004,2214400,131.479584
"163",145.470001,145.809998,144.910004,145.229996,953800,131.542999
"164",145.050003,146.470001,145.050003,146.009995,953200,132.249466
"165",146.679993,146.699997,145.350006,145.779999,540600,132.041122
"166",144.789993,145.479996,144.639999,145.369995,458600,131.669769
"167",145.350006,145.839996,145.119995,145.509995,879200,131.79657
"168",146,146,145.240005,145.369995,1192700,131.669769
"169",145.660004,146.110001,145.039993,145.649994,992800,131.923386
"170",145.149994,145.809998,143.869995,144.470001,1748700,130.85463
"171",144.369995,144.899994,143.860001,144.5,2832400,130.881805
"172",144.5,144.580002,143.789993,144.369995,2214300,130.764023
"173",144.330002,145.369995,144.029999,144.970001,1715400,131.307465
"174",146.009995,149.380005,145.369995,149.179993,3024700,135.120682
"175",149.850006,151.419998,149.080002,149.279999,2061200,135.211334
"176",149.009995,149.559998,148.520004,149.199997,1540700,135.138824
"177",149.610001,150.449997,148.770004,150.070007,1558800,135.926849
"178",150.020004,150.360001,149.479996,150.130005,1750600,135.981201
"179",150.149994,150.949997,149.679993,150.949997,2531000,136.723892
"180",150.910004,151.300003,150.080002,150.5,2621900,136.31633
"181",150.830002,151.139999,150.059998,150.979996,2491400,136.751083
"182",150.740005,151.470001,150.25,151.050003,1587000,136.814499
"183",151,151.220001,150.160004,150.259995,2424600,136.098969
"184",150.300003,151.580002,149.940002,151.529999,1273500,137.249268
"185",151.770004,151.979996,150.899994,150.979996,698100,136.751083
"186",151.300003,151.580002,150.100006,151.320007,942100,137.059006
"187",151.449997,152.259995,151.179993,151.339996,1089200,137.077133
"188",151.5,151.600006,150.460007,151.220001,971200,136.968491
"189",151.039993,152.759995,150.550003,152.199997,1081000,137.856125
"190",152.539993,153.490005,151.720001,153.190002,791200,138.752792
"191",153.050003,153.570007,152.729996,152.899994,774800,138.490112
"192",153.229996,153.339996,152.429993,153.309998,807000,138.861526
"193",152.360001,153.330002,152.020004,153.300003,1315000,139.718231
"194",153.360001,153.360001,152.559998,152.740005,690800,139.20784
"195",152.809998,153.279999,152.169998,153.190002,1068100,139.61795
