"Index" "VMOpen" "VMHigh" "VMLow" "VMClose" "VMVolume" "VMAdjusted"
"2013-05-13" 54.450001 54.830002 53.869999 54.080002 490000 50.825558
"2013-05-14" 53.889999 54.849998 53.860001 54.73 555300 51.43644
"2013-05-15" 54.509998 55.169998 54.25 54.93 486400 51.624413
"2013-05-16" 54.650002 55.139999 54.41 54.490002 383500 51.210888
"2013-05-17" 54.77 55.080002 54.279999 55.060001 571500 51.746586
"2013-05-20" 55.02 55.740002 54.560001 55.080002 533600 51.765385
"2013-05-21" 55.040001 55.299999 54.689999 54.970001 368300 51.662003
"2013-05-22" 54.860001 55.330002 53.310001 53.889999 759400 50.647003
"2013-05-23" 52.25 53.75 52.25 53.509998 813400 50.299198
"2013-05-24" 53.029999 54.110001 52.540001 53.75 341900 50.524799
"2013-05-28" 54.689999 55.27 54.5 54.709999 479900 51.427193
"2013-05-29" 54.169998 54.540001 53.389999 54.25 303700 50.994789
"2013-05-30" 54.380001 54.880001 54.25 54.66 877300 51.380192
"2013-05-31" 54.32 54.59 53.560001 53.580002 495200 50.365009
"2013-06-03" 53.77 53.77 51.860001 53.209999 690300 50.017197
"2013-06-04" 53.200001 54.220001 51.919998 52.09 450900 48.964394
"2013-06-05" 51.790001 52.209999 50.860001 50.98 429000 47.920986
"2013-06-06" 50.84 51.720001 50.189999 51.709999 811900 48.607201
"2013-06-07" 52.110001 52.529999 51.25 52.189999 368800 49.058395
"2013-06-10" 52.400002 53.790001 51.810001 53.459999 501200 50.252186
"2013-06-11" 52.439999 53.93 52.310001 52.77 534200 49.603607
"2013-06-12" 53.34 53.59 52.650002 53.09 600300 49.904404
"2013-06-13" 53.060001 54.57 52.740002 54.490002 515900 51.22039
"2013-06-14" 54.360001 54.43 53.610001 53.689999 433000 50.468403
"2013-06-17" 54.18 54.709999 53.830002 54.52 406600 51.248589
"2013-06-18" 54.57 54.66 53.880001 54.150002 512100 50.900799
"2013-06-19" 53.959999 54.639999 53.43 53.470001 376000 50.261612
"2013-06-20" 52.700001 52.950001 51.360001 51.549999 632500 48.456818
"2013-06-21" 52.02 52.02 49.720001 50.200001 1211200 47.187813
"2013-06-24" 49.389999 49.830002 47.66 48.02 968900 45.138615
"2013-06-25" 48.630001 48.950001 48.220001 48.619999 796600 45.702614
"2013-06-26" 49.32 49.990002 48.880001 49.080002 563000 46.135017
"2013-06-27" 49.540001 50.310001 49.029999 50.25 629500 47.234818
"2013-06-28" 50 50.34 48.360001 48.41 666900 45.505211
"2013-07-01" 48.860001 49.970001 48.599998 48.790001 541000 45.862411
"2013-07-02" 48.66 49.369999 47.720001 47.790001 655800 44.922413
"2013-07-03" 47.59 47.900002 47.27 47.459999 282500 44.612225
"2013-07-05" 47.880001 48.110001 46.209999 46.939999 723000 44.123409
"2013-07-08" 47.220001 48.040001 46.279999 46.91 661200 44.095226
"2013-07-09" 47.240002 49.27 47.119999 48.889999 761400 45.956417
"2013-07-10" 48.880001 49.540001 48.560001 49.330002 407300 46.37001
"2013-07-11" 50.080002 50.810001 49.669998 50.709999 717600 47.667202
"2013-07-12" 50.549999 50.82 49.889999 50.68 399300 47.639019
"2013-07-15" 50.59 50.990002 49.990002 50.259998 267500 47.244198
"2013-07-16" 50.419998 50.57 49.029999 49.240002 368500 46.285419
"2013-07-17" 49.439999 50.290001 49.23 49.98 382000 46.980999
"2013-07-18" 50.09 50.830002 49.990002 50.220001 334800 47.206612
"2013-07-19" 50.290001 50.91 50.139999 50.48 607000 47.451004
"2013-07-22" 50.560001 50.830002 50.150002 50.23 279500 47.216015
"2013-07-23" 50.450001 50.599998 49.549999 49.669998 271500 46.689617
"2013-07-24" 49.669998 49.849998 48.490002 48.93 403300 45.994011
"2013-07-25" 48.75 49.02 47.650002 48.080002 534200 45.195026
"2013-07-26" 47.700001 48.970001 47.689999 48.959999 910700 46.022209
"2013-07-29" 48.779999 48.830002 47.59 47.93 450800 45.054016
"2013-07-30" 47.990002 48.16 46.5 47.279999 1326700 44.443016
"2013-07-31" 47.389999 47.98 46.970001 47.18 596800 44.349018
"2013-08-01" 47.950001 50.779999 47.950001 49.68 989200 46.699005
"2013-08-02" 49.360001 49.959999 48.93 49.23 403200 46.276009
"2013-08-05" 49 49.5 48.68 49.43 377100 46.464016
"2013-08-06" 49.139999 49.400002 47.59 47.709999 769200 44.847221
